date,bus,captain,route,stop
2023-09-07,955,1189,257,3890
2023-09-08,950,1236,259,3870
2023-09-09,866,1110,248,3844
2023-09-10,835,1112,249,3840
2023-09-11,956,1203,258,3856
2023-09-12,962,1224,258,3851
2023-09-13,952,1219,256,3809
2023-09-14,972,1259,258,3852
2023-09-15,968,1217,258,3854
2023-09-16,878,1122,249,3793
2023-09-17,849,1124,248,3785
2023-09-18,974,1239,259,3855
2023-09-19,961,1224,259,3849
2023-09-20,977,1171,259,3846
2023-09-21,990,1230,259,3851
2023-09-22,963,1215,258,3847
2023-09-23,876,1110,251,3799
2023-09-24,836,1097,250,3741
2023-09-25,977,1316,260,3841
2023-09-26,980,1266,261,3850
2023-09-27,970,1263,260,3842
2023-09-28,919,1156,250,3794
2023-09-29,976,1246,260,3844
2023-09-30,886,1150,255,3797
2023-10-01,853,1098,256,3801
2023-10-02,975,1233,262,3863
2023-10-03,1006,1274,262,3863
2023-10-04,998,1268,263,3861
